Date,Safety Alert,Product Type,,
11/05/2024,Boulla LLC Issues Voluntary Nationwide Recall of ZoomMax and ZapMax Capsules Due to the Presence of Undeclared Sildenafil and Diclofenac,"Dietary Supplements, Drugs, Unapproved Drug",,
11/01/2024,IPV Therapy Device Recall: Percussionaire Removes Certain Phasitron 5 Breathing Circuits Due to Risk of Nickel Exposure,Medical Devices,,
10/31/2024,Incubator/Warmer Correction: GE Healthcare Updates Use Instructions for Giraffe OmniBed and Giraffe Omnibed CareStation due to Risk of Heater Door Falling and Causing Infant Injury,Medical Devices,,
10/29/2024,Update: Use of GE HealthCare EVair and EVair 03 Compressors - Letter to Health Care Providers,Medical Devices,,
10/29/2024,Air Compressor Device Correction: GE HealthCare Provides Updates to EVair Compressors Due to Final Formaldehyde Testing Results,Medical Devices,,
10/25/2024,"Tracheostomy Tube Recall: Smiths Medical Removes BLUselect, BLUgriggs, and BLUperc Tracheostomy Tube Kits due to Potential Disconnection of Pilot Balloon",Medical Devices,,
10/25/2024,Assistive Arm Correction: Kinova Issues Correction for Jaco Assistive Robotic Arm due to Fire Hazard and Burn Risk,Medical Devices,,
10/18/2024,Vascular Embolization Device Correction: Boston Scientific Updates Use Instructions for Obsidio Conformable Embolic for Increased Ischemia Risk When Used for GI Bleeding,Medical Devices,,
10/18/2024,Voluntary Recall Notifying Medtronic Insulin Pump Users of Potential Risks of Shortened Pump Battery Life,"Defect, Medical Devices",,
10/17/2024,Insulin Pump Recall: Medtronic Notifies Users of MiniMed 600 and 700 Series Pumps of Risk of Shorter than Expected Battery Life,Medical Devices,,
10/16/2024,UPDATE: Do Not Use Cue Health’s COVID-19 Tests Due to Risk of False Results: FDA Safety Communication,Medical Devices,,
10/16/2024,"Staska Pharmaceuticals, Inc. Issues Voluntary Nationwide Recall of Ascorbic Acid Solution for Injection (Preservative Free, Non-Corn) 500mg/mL Due to the Presence of Glass Particles","Drugs, Potential Foreign Material",,
10/16/2024,"C&A Naturistics Issues Voluntary Nationwide Recall of AK Forte Tablets con Ortiga y Omega 3 Due to the Presence of Undeclared Drug Ingredients: Diclofenac, Dexamethasone, and Methocarbamol","Drugs, Unapproved Drug",,
10/15/2024,"Infusion Pump Recall: Zyno Medical Removes Z-800, Z-800F, Z-800W, and Z800WF Infusion Pumps due to an Air-in-Line Software Defect That May Allow Larger than Expected Air Bubbles to Enter Patients",Medical Devices,,
10/07/2024,Resuscitator Recall: Mercury Medical Removes Neo-Tee T-Piece Resuscitators due to Risk of Inline Controller Detachment that May Impact Ventilation,Medical Devices,,
10/07/2024,Philips Respironics Issues Additional Usage Instructions for Trilogy Evo Ventilators Related to Use of In-Line Nebulizers,"Defect, Medical Devices",,
10/02/2024,IPV Therapy Device Correction: Sentec/Percussionaire Updates Use Instructions for Phasitron 5 In-Line Valve to Prevent Accidental Misuse of Expiratory Port Plug,Medical Devices,,
10/01/2024,"Infusion Pump Software Correction: Fresenius Kabi USA, LLC, Issues Correction for Ivenix Infusion System Large Volume Pump (LVP) Software due to Multiple Anomalies that May Cause Delay or Underdosage of Therapy",Medical Devices,,
10/01/2024,"Ventilator Software Correction: Philips Respironics Issues Mandatory Software Correction and Updates Use Instructions for Trilogy Evo, EV300, EvoO2, and Evo Universal to Address Multiple Issues that May Impact Ventilation",Medical Devices,,
09/30/2024,Ventilator Correction: Smiths Medical Issues Correction for paraPAC Plus P300 and P310 Ventilators due to Inadvertent Tidal Volume Knob Movement,Medical Devices,,
09/26/2024,Zimmer Biomet CPT Hip System Femoral Stem and Increased Risk of Thigh Bone Fracture - FDA Safety Communication,Medical Devices,,
09/24/2024,Compounding Device Inlet Correction: Baxter Healthcare Corporation Updates Use Instructions for Exactamix Automated Compounding Device Inlets due to Risk for Particulate Matter in Device Components,Medical Devices,,
09/23/2024,Gilead Issues Voluntary Nationwide Recall of One Lot of Veklury (Remdesivir) for Injection 100 mg/vial Due to the Presence of a Glass Particle,"Drugs, Potential Foreign Material",,
09/23/2024,"Electrode Pad Correction: Megadyne Issues Correction for MEGA SOFT, MEGA SOFT DUAL and MEGA 2000 Patient Return Electrodes to Limit Risk of Pediatric Burns",Medical Devices,,
09/20/2024,Ventilator Recall: Smiths Medical Removes ParaPAC Plus Ventilators due to Loosened or Detached Patient Outlet Connector,Medical Devices,,
09/19/2024,Related Recalls - Plastic Syringes Made in China for Potential Device Failures,Medical Devices,,
09/18/2024,Bionpharma Inc. Issues Voluntary Nationwide Recall of Atovaquone Oral Suspension Due to Bacterial Contamination,"Drugs, Microbial Contamination",,
09/18/2024,Tracheostomy Tube Recall: Smiths Medical Removes Certain Bivona Neonatal/Pediatric and Adult Tracheostomy Tubes due to Manufacturing Defect that May Cause Tracheostomy Displacement or Decannulation,Medical Devices,,
09/17/2024,"Infusion Pump Correction: B. Braun Medical Inc. Issues Correction for lnfusomat Space Infusion System/Large Volume Pump, in addition to Infusomat Space Large Volume Pump Wireless, and lnfusomat Space Large Volume Pump Non-Wireless BATTERY PACK, Due to Faulty Occlusion Alarm",Medical Devices,,
09/16/2024,Infusion Pump Administration Set Recall: Fresenius Kabi USA Removes Certain Ivenix Large Volume Pump Primary Administration Sets,Medical Devices,,
09/06/2024,UPDATE: Evaluating Plastic Syringes Made in China for Potential Device Failures: FDA Safety Communication,Medical Devices,,
09/05/2024,"Laryngoscope Recall: Medtronic Removes Certain McGrath MAC Video Laryngoscopes, Updates Use Instructions for Others due to Increased Risk for Battery Overheat and Explosion",Medical Devices,,
09/05/2024,Ventilator Correction: Breas Medical Updates Use Instructions for Vivo 45 LS due to Potential Elevated Formaldehyde Levels in Newly Manufactured Ventilators,Medical Devices,,
09/05/2024,Continuous Glucose Monitoring (CGM) Sensor Recall: Abbott Diabetes Care Inc Issues Recall for Certain FreeStyle Libre 3 Sensors due to Risk for Inaccurate High Glucose Readings,Medical Devices,,
09/04/2024,Smiths Medical Issues Urgent Medical Device Notification Informing Customers of a  Potential Issue with Certain Bivona® Tracheostomy Tubes,"Defect, Medical Devices",,
09/04/2024,Lung Therapy Component Recall: Baxter Healthcare Corporation Recalls Certain Volara System Single-Patient Use Circuits and Blue Ventilator Adapter Assemblies Due to Disconnection Risk That May Prevent Proper Ventilation,Medical Devices,,
08/28/2024,"Tandem Diabetes Care, Inc. Recalls Version 2.7 of the Apple iOS t:connect Mobile App Used in Conjunction with t:slim X2 Insulin Pump with Control-IQ Technology Prompted by a Software Problem Leading to Pump Battery Depletion",Medical Devices,,
08/26/2024,Voluntary Recall of SoClean Equipment Intended for Use with CPAP Devices and Accessories: FDA Safety Communication,Medical Devices,,
08/26/2024,2023 Safety Communications,"Medical Devices, Radiation-Emitting Products",,
08/23/2024,"Convenience Kit Component Recall: Medline Industries, LP, Removes Convenience Kit Syringes Manufactured in China that May Be Contaminated, Break, Leak, or Otherwise Fail",Medical Devices,,
08/23/2024,Clot Removal Device Correction: Inari Medical Updates Use Instructions for ClotTriever XL Catheter due to Reports of Patient Injury and Death from Device Entrapment and Pulmonary Emboli,Medical Devices,,
08/22/2024,"Chest Compression Device Recall: Defibtech, LLC, Removes RMU-2000 ARM XR Chest Compression Device due to Risk of Device Stopping Compressions",Medical Devices,,
08/20/2024,"Infusion Pump Battery Correction: ICU Medical Updates Instructions for Use Regarding Batteries in Plum 360, A+ and A+3 Infusion System due to Diminished Battery Life that May Impact Infusion Delivery",Medical Devices,,
08/12/2024,Heart Pump Recall: Abiomed Removes Certain Impella CP with SmartAssist Systems due to Failed Quality Inspections,Medical Devices,,
08/12/2024,Tandem Diabetes Care Provides Update on March 2024 Nationwide Recall of t:connect Mobile App for iOS Devices,"Defect, Medical Devices",,
08/09/2024,Breas Medical Issues Voluntary U.S. Nationwide Urgent Medical Device Correction  of Vivo 45 LS Ventilator,"Defect, Medical Devices",,
08/08/2024,B. Braun Issues Voluntary Nationwide Recall of 0.9% Sodium Chloride for Injection USP 1000 mL in E3 Containers Due to the Potential for Particulate Matter and Leakage,"Drugs, Potential Foreign Material",,
08/06/2024,Baxter Issues Voluntary Nationwide Recall of One Lot of Heparin Sodium 0.9% Sodium Chloride Injection Due to Potential for Elevated Endotoxin Levels,"Drugs, Microbial Contamination",,
08/06/2024,Ambulatory Infusion Pump Software Correction: Smiths Medical Issues Correction for CADD-Solis and CADD-Solis VIP Ambulatory Infusion Pump Software due to Multiple Issues Related to Outdated Software,Medical Devices,,
08/06/2024,Nerve Monitoring System Correction: Medtronic Issues Correction for NIM Vital Nerve Monitoring System due to the Potential for False Negative Response,Medical Devices,,
08/05/2024,Risks with Exactech Joint Replacement Devices with Defective Packaging - FDA Safety Communication,Medical Devices,,
07/31/2024,Megadyne Recalls MEGA 2000 and MEGA Soft Reusable Patient Return Electrodes for Risk of Serious Burn Injuries to Patients,Medical Devices,,
07/31/2024,Electrode Pad Recall: Megadyne Removes MEGADYNE MEGA SOFT Pediatric Patient Return Electrodes for Risk of Serious Burn Injuries to Patients,Medical Devices,,
07/31/2024,Abbott Issues Voluntary Medical Device Correction for a Small Number of FreeStyle Libre® 3 Sensors in the U.S.,"Defect, Medical Devices",,
07/26/2024,Do Not Use Medtronic NIM Standard and Contact EMG Endotracheal Tubes - Letter to Health Care Providers,Medical Devices,,
07/24/2024,"Aurobindo Pharma USA, Inc. on Behalf of AuroHealth, Issues Voluntary Nationwide Recall of one (1) Lot of Healthy Living Over the Counter (OTC) Migraine Relief: Acetaminophen 250mg; Aspirin 250mg; Caffeine 65mg Tablets, Due to Missing Manufacturer Label","Drugs, Mislabeling",,
07/23/2024,Ventilator Recall: Baxter Removes Life2000 Ventilator Due to Potential Failure of Battery Charging Dongle,Medical Devices,,
07/22/2024,"Hikma Pharmaceuticals USA Inc. Extends Voluntary Nationwide Recall of One Lot of  Acetaminophen Injection, 1000mg/100mL, (10mg/mL) Bags Due to an Individual Unit of Acetaminophen Overwrap Found to Have Contained a Labelled Bag of Dexmedetomidine HCL Injection (400mcg/100mL)","Drugs, Mislabeling",,
07/22/2024,"Main Products, Inc. Issues Voluntary Nationwide Recall of Umary Acido Hialuronico, Suplemento Alimenticio Due to the Presence of Undeclared Drug Ingredients: Diclofenac and Omeprazole","Drugs, Potential Lack of Sterility",,
07/17/2024,"Endo USA, Inc. Issues Voluntary, Nationwide Recall of One Lot of Clonazepam Orally Disintegrating Tablets, USP (C-IV) Lot Number 550147301 Due to Mislabeling: Incorrect Strength on Product Carton","Drugs, Mislabeling",,
07/16/2024,"Continuous Ventilator Correction: Philips Respironics, Inc. Updates Use Instructions for OmniLab Advanced+ (OLA+) Ventilator due to Interruptions and/or Loss of Therapy",Medical Devices,,
07/16/2024,GURU INC. Issues Voluntary Nationwide Recall of Infla-650 Herbal Dietary  Supplement Capsules Due to Hidden Drug Ingredients,"Dietary Supplements, Drugs, Unapproved Drug",,
07/16/2024,Baxter Issues Urgent Medical Device Recall for Volara System Single-Patient Use Circuit,"Defect, Medical Devices",,
07/15/2024,Eye Injection Kit Recall: Bausch + Lomb/Synergetics Inc. Removes Certain I-Pack Injection Kits Due to Potential Non-Sterility,Medical Devices,,
07/15/2024,"SoloVital.com Issues Voluntary Nationwide Recall of Umary Acido Hialuronica, Suplemento Alimenticio 850 mg Capsules Due to the Presence of Undeclared Drug Ingredients: Diclofenac and Omeprazole","Drugs, Unapproved Drug",,
07/11/2024,Ventilator Software Correction: Hamilton Medical Issues Correction for HAMILTON-C6 Medical Ventilators to Address Risk of Failed Ventilation Restart,Medical Devices,,
07/10/2024,"Continuous Ventilator Correction: Philips Respironics, Inc. Updates Use Instructions for BiPAP V30, BiPAP A30, BiPAP A40 Due to Interruptions and/or Loss of Therapy",Medical Devices,,
07/10/2024,Baxter Issues Urgent Medical Device Recall for Life2000 Ventilator Due to Potential Battery Charger Dongle Damage,"Defect, Medical Devices",,
07/08/2024,"Radiofrequency (RF) Coils Correction: Philips North America LLC Updates Use Instructions For SENSE XL Torso (1.5T And 3.0T) Coils Due to a Potential Issue Where the Coil Heats Up During MRI Scans, Possibly Leading to Thermal Injury",,,
07/08/2024,"An Implantable Hypoglossal Nerve Stimulator Device Removal: Inspire Medical Systems, Inc. Removes Inspire IV Implantable Pulse Generator due to Manufacturing Defect That Can Result in System Malfunctions",,,
06/28/2024,Left Ventricular Assist System (LVAS) Monitor Correction: Abbott Medical Issues Correction for HeartMate LVAS System Monitor due to Screen Issues that May Cause Unintentional Pump Stop,Medical Devices,,
06/27/2024,Ventilator Correction: ZOLL Medical Corporation Updates Use Instructions For 731 Ventilators Due to Missing MRI Safety Information in The Labeling That May Lead to Misuse and Ventilator Failure,Medical Devices,,
06/26/2024,"American Health Packaging on Behalf of BluePoint Laboratories Issues Voluntary Nationwide Recall for Potassium Chloride Extended-Release Capsules, USP (750 mg) 10 mEq K Due to Failed Dissolution","Defect, Drugs",,
06/25/2024,"Glenmark Pharmaceuticals Inc., USA Issues Voluntary Nationwide Recall for Potassium Chloride Extended-Release Capsules, USP (750 mg) 10 mEq K Due to Failed Dissolution","Defect, Drugs",,
06/13/2024,Teleflex/Arrow International Recall Arrow FiberOptix and UltraFlex Intra-Aortic Balloon (IAB) Catheter Kits for Manufacturing Issue That May Prevent Full Balloon Inflation and Cause Patient Harm,Medical Devices,,
06/13/2024,Getinge Recalls Vaporizer Sevoflurane Maquet Filling for Risk of Patient and Health Care Professional Exposure to Toxic Chemical Hydrogen Fluoride,Medical Devices,,
06/12/2024,Suntegrity Skincare Issues Voluntary Recall of Suntegrity Impeccable Skin Sunscreen Foundation (Multiple Shades) Due to Microbial Contamination,"Drugs, Microbial Contamination",,
06/11/2024,"Endotracheal Tube Recall: Medline Industries, LP Removes Medline Sub-G Endotracheal Tube with Subglottic Suctioning due to Detachment or Tearing of the Inflation Tube from the Main Tube",Medical Devices,,
06/11/2024,Male Enhancement Supplements Recalled,"Dietary Supplements, Drugs, Unapproved Drug",,
06/05/2024,HomeoCare Laboratories Inc. Issues Voluntary Nationwide Recall of Homeopathic Stella Life Oral Care Spray Unflavored and Advanced Formula Peppermint Oral Care Rinse Due to Microbial Contamination,"Drugs, Microbial Contamination",,
06/05/2024,"Medtronic Recalls StealthStation S8 Application Versions 1.2.0, 1.1.0, 1.0.3, 1.0.2, and 1.0.1 for Software Error that May Cause Incorrect Measurements During Cranial Surgery",Medical Devices,,
05/31/2024,"Medline Industries, LP Issues Nationwide Recall of SubG Endotracheal Tube with Subglottic Suction","Defect, Medical Devices",,
05/30/2024,"OptumHealth Care Solutions Recalls Nimbus II Infusion Pump Systems Under Recall by InfuTronix, LLC",Medical Devices,,
05/29/2024,"Sagent Pharmaceuticals Issues Voluntary Nationwide Recall of Docetaxel Injection, USP Due to Potential Presence of Particulate Matter","Animal & Veterinary, Drugs, Potential Foreign Material, Animal Drugs",,
05/23/2024,"Vyaire Medical, Inc. Recalls the Twin Tube Due to The Potential of The Nozzle Separating During Patient Use",Medical Devices,,
05/22/2024,"Hospira Inc. Issues A Voluntary Nationwide Recall For Buprenorphine Hydrochloride Injection CarpujectTM Units and Labetalol Hydrochloride Injection, USP CarpujectTM Units Due to the Potential for Incomplete Crimp Seals","Animal & Veterinary, Defect, Drugs, Animal Drugs",,
05/15/2024,Abbott Recalls HeartMate 3 Left Ventricular Assist System (LVAS) Implant Kit for Risk of Blood Leakage or Air Entering System Between Inflow Cannula and Apical Cuff,Medical Devices,,
05/15/2024,BioMérieux Inc. Recalls VITEK 2 AST Kit due to Incorrect Ceftriaxone Concentrations,Medical Devices,,
05/15/2024,"Draeger, Inc. Recalls Perseus A500 Anesthesia System for Risk of Sudden Unexpected Shutdown When Used on Battery Power",Medical Devices,,
05/13/2024,"Philips Respironics, Inc. Recalls Trilogy Evo Continuous Ventilators due to a Software-Related Possible Power Malfunction",Medical Devices,,
05/10/2024,MEGADYNE™ Initiates Global Discontinuation and Voluntary Recall of MEGA SOFT™ Pediatric Patient Return Electrode,"Defect, Medical Devices",,
05/10/2024,Route 92 Medical Inc. Recalls Catheter due to Distal Tip Separation at the Proximal Marker Band,Medical Devices,,
05/08/2024,Getinge/Maquet Cardiohelp System: Potential Insufficient Packaging Sterility with HLS Set Advanced - Letter to Health Care Providers,Medical Devices,,
05/08/2024,Safety and Quality Concerns with Getinge Cardiovascular Devices - Letter to Health Care Providers,Medical Devices,,
05/08/2024,Oxygenator Devices Used for Extracorporeal Circulation - Letter to Health Care Providers,Medical Devices,,
05/08/2024,UPDATE: Risk of Device Failures for Getinge's Maquet/Datascope Cardiosave Intra-Aortic Balloon Pump (IABP) - Letter to Health Care Providers,Medical Devices,,
04/29/2024,SonarMed Inc. Recalls Airway Acoustic Sensors Due to a Restricted Inner Diameter of Airway Causing Suction Catheter Passage Difficulty,Medical Devices,,
04/29/2024,SonarMed Inc. Recalls Airway Monitors Due to a Software Anomaly Resulting in Failure to Detect a Partial Obstruction in 2.5mm Sensors and Up To 3mm Distal to the Sensor Tip,,,
04/26/2024,FDA Encourages the Public to Follow Established Choking Rescue Protocols: FDA Safety Communication,Medical Devices,,
04/26/2024,Elekta Instrument AB Recalls Disposable Biopsy Needle Kit for Leksell Stereotactic System for Possibly Containing Microscopic Stainless Steel Debris on the Inside of the Biopsy Needle,Medical Devices,,
04/25/2024,Fresenius Medical Care Recalls Stay-Safe Catheter Extension Sets and Stay-Safe/Luer Lock Adapter for Risk of Patient Exposure to Higher Than Allowable Levels of Toxic Compound NDL-PCBA,Medical Devices,,
04/25/2024,"Outset Medical, Inc. Recalls Certain Tablo Hemodialysis Systems for Risk of Patient Exposure to Higher Than Allowable Levels of Toxic Compound NDL-PCBAs",Medical Devices,,
04/25/2024,"InfuTronix, LLC Recalls Nimbus and Nimbus II Infusion Pump Systems for Multiple Device Failures That May Cause Severe Injury and Death",Medical Devices,,
04/24/2024,"DeRoyal Industries, Inc. Recalls Tracecarts Containing 16FR Urine Meter Foley Under Recall by Nurse Assist",Medical Devices,,
04/23/2024,STOP CLOPEZ CORP Issues Voluntary Worldwide Recall of Schwinnng Capsules Due to the Presence of Undeclared Nortadalafil,"Drugs, Unapproved Drug",,
04/23/2024,Dr. Reddy’s Issues Voluntary Nationwide Recall of Sapropterin Dihydrochloride Powder for Oral Solution 100 mg Due to Sub-Potency,"Drugs, Ingredient Level",,
04/19/2024,Risks with Exactech Equinoxe Shoulder System with Defective Packaging - FDA Safety Communication,Medical Devices,,
04/18/2024,BCMA-Directed or CD19-Directed Autologous Chimeric Antigen Receptor (CAR) T cell Immunotherapies: FDA Safety Communication - FDA Investigating Serious Risk of T-cell Malignancy,Biologics,,
04/17/2024,"Fresenius Kabi USA, LLC Recalls Ivenix Infusion Pump LVP Software for Anomalies That Have the Potential to Cause Serious Patient Harm or Death",Medical Devices,,
04/15/2024,Abbott/Thoratec Corp. Recalls HeartMate II and HeartMate 3 Left Ventricular Assist System (LVAS) due to Long-term Buildup Causing an Obstruction,Medical Devices,,
04/15/2024,Recall of Certain Saline and Sterile Water Medical Products Associated with Nurse Assist: FDA Safety Communication,Medical Devices,,
04/08/2024,"Medline Industries, LP Issues a Nationwide Recall of Convenience Kits Containing Nurse Assist 0.9% Sodium Chloride Irrigation USP and Sterile Water for Irrigation USP","Medical Devices, Potential Lack of Sterility",,
04/05/2024,"Honeywell Safety Products USA, Inc. Issues Voluntary Worldwide Recall of Honeywell Fendall 2000 Non-Sterile Eyewash Cartridges # 32-002050-0000 used with the Fendall 2000 Eyewash Station Due to a Lack of Appropriate Policies and Procedures by Honeywell’s Supplier","Defect, Drugs",,
04/05/2024,Aruba Aloe Balm N.V. Issues Voluntary Nationwide Recall of Aruba Aloe Hand Sanitizer Gel Alcohol 80% and Aruba Aloe Alcoholada Gel Due to Presence of Methanol,"Drugs, Unapproved Ingredient",,
04/04/2024,Medos International Sàrl Recalls Cerenovus CEREBASE DA Guide Sheath due to Cracking of the Distal Catheter Shaft,Medical Devices,,
04/04/2024,"Smiths Medical ASD Recalls PneuPac ParaPAC Plus 300 and 310 Ventilator Kits for a Malfunction Causing Non-Cycling, Continuous Positive Gas Flow and Preventing Proper Ventilation",Medical Devices,,
04/03/2024,"Teleflex and Arrow International Recall ARROW QuickFlash Radial Artery and Radial Artery/Arterial Line Catheterization Kits for Increased Resistance That May Lead to Vessel Injuries, Narrowing, or Blockage",,,
04/01/2024,"AvKARE, LLC. Issues Voluntary Nationwide Recall of Atovaquone Oral Suspension, USP 750 mg/5 mL Due to Potential Bacillus Cereus Contamination","Drugs, Microbial Contamination",,
03/28/2024,"Eugia US LLC (f/k/a AuroMedics Pharma LLC) Issues Voluntary Nationwide Recall of Methocarbamol Injection, USP 1000 mg/10 mL (100mg/mL) (Single Dose Vial) Due to Presence of White Particles","Drugs, Potential Foreign Material",,
03/27/2024,"Amneal Pharmaceuticals, LLC. Issues a Nationwide Voluntary Recall of Vancomycin Hydrochloride for Oral Solution USP, 250mg/5mL, Due to the Potential for Some Bottles to be Super Potent Which May be Harmful","Drugs, Ingredient Level",,
03/25/2024,Medline Industries Recalls Certain Kits and Trays Containing Sterile Water Based Products Under Recall by Nurse Assist,Medical Devices,,
03/21/2024,Abiomed Recalls the Instructions for Use for Impella Left Sided Blood Pumps due to Perforation Risks,Medical Devices,,
03/21/2024,"Vyaire Medical, Inc. Recalls AirLife Manual Resuscitators Due to Manufacturing Defect That Can Lead to Injury or Death",,,
03/20/2024,Voluntary Removal Announcement for the InfuTronix Nimbus Ambulatory Infusion Pump System,"Defect, Medical Devices",,
03/20/2024,Pyramid Wholesale Issues Recall of Various Brands of Products Sold as Dietary Supplements for Sexual Enhancement Because They Contain Undeclared Prescription Drugs Including Sildenafil (Viagra) and/or Tadalafil (Cialis),"Dietary Supplements, Drugs, Unapproved Drug",,
03/18/2024,Sleepnet Corporation Issues Worldwide Recall of CPAP and BIPAP Masks with Magnets Due to Potential Interference with Certain Medical Implants,"Defect, Medical Devices",,
03/14/2024,Avanos Recalls MIC Gastric – Jejunal Feeding Tube Kits Containing Sterile Water Based Products Under Recall by Nurse Assist,Medical Devices,,
03/12/2024,Par Pharmaceutical Issues Voluntary Nationwide Recall of One Lot of Treprostinil Injection Due to Potential for Silicone Particulates in the Product Solution,"Drugs, Potential Foreign Material",,
03/11/2024,"Windstone Medical Packaging, Inc. Recalls Local Lower Extremity Pack, In House Ocular Pack and Closure Kit Containing Sterile Water Based Products Under Recall by Nurse Assist",Medical Devices,,
03/11/2024,Abbott Recalls HeartMate Touch Communication System for Unintentional Pump Start and Stop,Medical Devices,,
03/07/2024,"Ventec Life Systems Recalls VOCSN Patient Breathing Package (Pediatric, Active, Oxygen, Blue) for Manufacturing Issue with Bonded Spiral Wrap",,,
03/07/2024,Medtronic Neurosurgery Recalls Duet External Drainage and Monitoring System Catheter Tubing due to a Potential for the Catheter Disconnection from the Patient Line Stopcock Connectors,Medical Devices,,
03/07/2024,Do Not Use Certain Cardinal Health Monoject Luer-Lock and Enteral Syringes - FDA Safety Communication,,,
03/07/2024,Cardinal Health Recalls Sterile Monoject Luer-Lock and Enteral Syringes Due to a Change in Manufacturing,Medical Devices,,
03/07/2024,2023 Medical Device Recalls,Medical Devices,,
03/06/2024,Baxter Healthcare Recalls ExactaMix Pro 1200 and Pro 2400 Due to a Software Error,Medical Devices,,
03/05/2024,Smiths Medical ASD Inc. Recalls Medfusion Model 3500 Syringe Pump Due to Issues Associated with Earlier Software Versions,Medical Devices,,
02/29/2024,Follow Instructions for Safe Use of Electrical Operating Room Tables - Letter to Health Care Providers,,,
02/29/2024,Megadyne Reiterates Intended Use Population Change for Megadyne Mega Soft Universal and Universal Plus Patient Return Electrodes,"Medical Devices, Unapproved Use",,
02/29/2024,"Wipro GE Healthcare Private Ltd. Recalls Care Plus, Care Plus models 1000-4000 and Lullaby Incubators Due to Problems with Door Latch",,,
02/29/2024,Hintermann Series H3 Total Ankle Replacement Has a Higher-Than-Expected Risk of Device Failure: FDA Safety Communication,Medical Devices,,
02/28/2024,Olympus Corporation of the Americas Recalls Bronchofiberscopes and Bronchovideoscopes Because They Can Lead to Burns and Fire,Medical Devices,,
02/27/2024,"Avanos Medical, Inc. Announces Voluntary Recall in Response to Nurse Assist, LLC Sterile Water Medical Products Recall","Medical Devices, Potential Lack of Sterility",,
02/26/2024,"Brassica Pharma Pvt. Ltd. Issues Voluntary Nationwide Recall of Equate Lubricant Eye Ointment, Equate Stye Lubricant Eye Ointment, CVS Health Lubricant Eye Ointment, Lubricant PM Ointment Due to Potential Lack of Sterility","Drugs, Potential Lack of Sterility",,
02/21/2024,Do Not Use Smartwatches or Smart Rings to Measure Blood Glucose Levels: FDA Safety Communication,Medical Devices,,
02/15/2024,Philips Recalls BrightView Imaging Systems Due to the Detector Unexpectedly Falling,"Medical Devices, Radiation-Emitting Products",,
02/14/2024,Smiths Medical ASD Inc. Recalls Medfusion Model 4000 Syringe Pump Due to Issues Associated with Earlier Software Versions,Medical Devices,,
02/06/2024,Percussionaire Recalls High Frequency Transport Phasitron Breathing Circuit Kits for Over-Pressurization,Medical Devices,,
02/05/2024,Cardinal Health Issues Medical Device Recall for Nurse Assist Products Contained Within Kits/Trays,"Medical Devices, Potential Lack of Sterility",,
02/05/2024,Today The World Issues Voluntary Nationwide Recall of All Lots of Sustain and Schwinnng brand Dietary Supplement Capsules Due to the Presence of Undeclared Tadalafil and Nortadalafil,"Drugs, Unapproved Drug",,
02/05/2024,Today The World Issues Voluntary Nationwide Recall of All Lots of Arize Herbal Dietary Supplement Capsules Due to the Presence of Undeclared Nortadalafil,"Drugs, Unapproved Drug",,
02/02/2024,Do Not Use Cardinal Health Monoject Syringes with Syringe Pumps and PCA Pumps - Letter to Health Care Providers,,,
02/02/2024,Insight Pharmaceuticals Issues Voluntary Nationwide Recall of TING® 1% Tolnaftate Athlete’s Foot Spray Antifungal Spray Liquid Due to the Presence of Benzene,"Drugs, Unapproved Ingredient",,
01/31/2024,"Maquet Cardiovascular, LLC Recalls Atrium Express Dry Suction Dry Seal Chest Drain Containing Sterile Water Based Products Under Recall by Nurse Assist",,,
01/30/2024,"Globus Medical, Inc. Recalls ExcelsiusGPS Flat Panel Fluoroscopy Registration Fixture Due to a Calibration Error",Medical Devices,,
01/29/2024,ResMed Ltd. Recalls Continuous Positive Airway Pressure (CPAP) Masks with Magnets due to Possible Magnetic Interference with Certain Medical Devices,Medical Devices,,
01/29/2024,"Neptune Resources, LLC Issues Voluntary Nationwide Recall of Neptune’s Fix","Drugs, Unapproved Drug",,
01/25/2024,"Azurity Pharmaceuticals, Inc. Issues Voluntary Nationwide Recall of Zenzedi® (dextroamphetamine sulfate tablets, USP) 30 mg Due to a Mislabeled Package During Manufacturing","Drugs, Mislabeling",,
01/24/2024,Haleon Issues Voluntary Nationwide Recall of Robitussin Honey CF Max Day Adult and Robitussin Honey CF Max Nighttime Adult Products Due to Microbial Contamination,"Drugs, Microbial Contamination",,
01/23/2024,"Windstone Medical Packaging dba Aligned Medical Solutions Issues Nationwide Recall of Nurse Assist Sterile Saline Placed Into the Following Kits; AMS10833 Local Lower Extremity Pack I, AMS12947 In House Ocular Pack, AMS12947A In House Ocular Pack and AMS13043 Closure Kit","Medical Devices, Potential Lack of Sterility",,
01/22/2024,Kilitch Healthcare India Limited Issues Amendments in Last Voluntary Nationwide Recall Press Release,"Drugs, Device & Drug Safety",,
01/19/2024,Prolia (denosumab): Drug Safety Communication - FDA Adds Boxed Warning for Increased Risk of Severe Hypocalcemia in Patients with Advanced Chronic Kidney Disease,"Drugs, Prescription Drugs",,
01/18/2024,"Certain ResMed Ltd Masks for BiPAP, CPAP Machines Recalled Due to Safety Issue with Magnets That May Affect Certain Medical Devices: FDA Safety Communication",Medical Devices,,
01/16/2024,"ROi CPS, LLC Recalls Regard Operative Lap P&S Surgical Kit Due to Possible Lack of Sterility",Medical Devices,,
