drug_name,device_name,condition,old_dosage,new_dosage,old_warning,new_warning,old_indication,new_indication,recall_reason,risk_level,fda_approval_date,update_date,source_url,ndc_code,clinical_trial_id,patient_population,contraindications,adverse_events,mechanism_of_action,therapeutic_class,manufacturer,regulatory_status,clinical_significance,patient_safety_impact,compliance_deadline,adverse_event_count,recall_class,trial_phase,study_status,id
DEPAKOTE,,Rash,Standard dosing per label,Dosing adjustment recommended based on adverse events,Standard warnings,Enhanced monitoring for: Rash,As approved,Use with enhanced monitoring,,Medium,,2025-09-14,https://fda.gov/adverse-event/10003824,,,"Patients similar to case: 2, age unknown",Enhanced screening for risk factors,Rash,DEPAKOTE mechanism with identified safety concern,Adverse Event Report,US-ABBVIE-13P-163-1180736-00,FDA Adverse Event Report,Adverse event pattern identified: Rash,Serious adverse event - enhanced monitoring required,2025-10-14,1,,,,GT-0045
,Bio-logic System Corp --Telescoping Camera Pole Assembly (part number 585-CYBPSM and 580-VIDPOL) and,,,,Device approved for clinical use,RECALL CLASS II: Bio-logic System Corp Camera Pole may weaken and detach at the base of the telescoping camera pole during transport causing pole to break at the welded base and fall.,"Bio-logic System Corp --Telescoping Camera Pole Assembly (part number 585-CYBPSM and 580-VIDPOL) and assemblies (580IPCART and 580 PNCART; Bio-Logic Systems Corporation, Mundelein, IL 60060; The Model 580-VIDPOL is used with the 580-PNCART that is wired for use with a Panasonic Camera.  The pole is also a subassembly of the 585-CYBPSM with wires used in the 580-IPCART wired for the use with an Ipela Camera.  Both carts are a component of the Ceegraph/Sleepscan Netlink with Video.",Use discontinued - recall in effect,Bio-logic System Corp Camera Pole may weaken and detach at the base of the telescoping camera pole during transport causing pole to break at the welded base and fall.,High,,2025-09-14,https://www.fda.gov/medical-devices/medical-device-recalls/,,,All device users,Device use suspended per recall,Device-related: Device Design,,Medical Device Recall,Bio-Logic Systems Corp,FDA Recall Class II,Device recall: Device Design,Class II recall - Bio-logic System Corp Camera Pole may weaken and detach at the base of the telescoping camera pole during transport causing pole to break at the welded base and fall.,2025-10-14,0,II,,,GT-0046
,,"Non Small Cell Lung Cancer, Small Cell Lung Cancer",Study protocol dosing,Updated protocol based on interim results,Standard study precautions,Enhanced safety monitoring based on trial data,Investigational use,"Clinical trial evidence for Non Small Cell Lung Cancer, Small Cell Lung Cancer",,Medium,,2025-09-14,https://clinicaltrials.gov/study/NCT01943578,,NCT01943578,Clinical trial participants (n=80),Per trial protocol,As reported in trial monitoring,Under clinical investigation,Clinical Trial,"Rigshospitalet, Denmark",COMPLETED,Clinical trial evidence: Value of Physical Capacity Tests in Lung Cancer,Clinical trial safety monitoring,2025-12-13,0,,,COMPLETED,GT-0047
"Adapted Stress Management Program, Enhanced Usual Care",,Lung Cancer,Study protocol dosing,Updated protocol based on interim results,Standard study precautions,Enhanced safety monitoring based on trial data,Investigational use,Clinical trial evidence for Lung Cancer,,Medium,,2025-09-14,https://clinicaltrials.gov/study/NCT06199570,,NCT06199570,Clinical trial participants (n=60),Per trial protocol,As reported in trial monitoring,Under clinical investigation,Clinical Trial,Hackensack Meridian Health,RECRUITING,Clinical trial evidence: Support for Cancer Patients Awaiting News,Clinical trial safety monitoring,2025-12-13,0,,,RECRUITING,GT-0048
Preoperative home-based exercise training,,Lung Neoplasm,Study protocol dosing,Updated protocol based on interim results,Standard study precautions,Enhanced safety monitoring based on trial data,Investigational use,Clinical trial evidence for Lung Neoplasm,,Medium,,2025-09-14,https://clinicaltrials.gov/study/NCT05469425,,NCT05469425,Clinical trial participants (n=46),Per trial protocol,As reported in trial monitoring,Under clinical investigation,Clinical Trial,Instituto Politécnico de Leiria,COMPLETED,Clinical trial evidence: Home-based Preoperative Exercise Training for Lung Cancer Patients Undergoing Surgery,Clinical trial safety monitoring,2025-12-13,0,,,COMPLETED,GT-0049
"Radiolabeled (99Tc) EC-DG (ethylenedicysteine-deoxyglucose), Technetium 99m ethylenedicysteine-deoxyglucose, 18 F fluorodeoxyglucose",,Non Small Cell Lung Cancer,Study protocol dosing,Updated protocol based on interim results,Standard study precautions,Enhanced safety monitoring based on trial data,Investigational use,Clinical trial evidence for Non Small Cell Lung Cancer,,Medium,,2025-09-14,https://clinicaltrials.gov/study/NCT00864110,,NCT00864110,Clinical trial participants (n=4),Per trial protocol,As reported in trial monitoring,Under clinical investigation,Clinical Trial,Cell>Point LLC,COMPLETED,Clinical trial evidence: Pharmacokinetic and Radiation Dosimetry Study Evaluating 99m TC-EC-DG SPECT/CT in Patients With Non-small Cell Lung Cancer (NSCLC),Clinical trial safety monitoring,2025-12-13,0,,PHASE1,COMPLETED,GT-0050
"Amivantamab, Tepotinib",,Non-small Cell Lung Cancer,Study protocol dosing,Updated protocol based on interim results,Standard study precautions,Enhanced safety monitoring based on trial data,Investigational use,Clinical trial evidence for Non-small Cell Lung Cancer,,Medium,,2025-09-14,https://clinicaltrials.gov/study/NCT06083857,,NCT06083857,Clinical trial participants (n=3),Per trial protocol,As reported in trial monitoring,Under clinical investigation,Clinical Trial,M.D. Anderson Cancer Center,ACTIVE_NOT_RECRUITING,Clinical trial evidence: PhI/II Study of Amivantamab and Tepotinib Combo in MET-altered Non-small Cell Lung Cancer,Clinical trial safety monitoring,2025-12-13,0,,"PHASE1, PHASE2",ACTIVE_NOT_RECRUITING,GT-0051
,,Adenocarcinoma of Lung,Study protocol dosing,Updated protocol based on interim results,Standard study precautions,Enhanced safety monitoring based on trial data,Investigational use,Clinical trial evidence for Adenocarcinoma of Lung,,Medium,,2025-09-14,https://clinicaltrials.gov/study/NCT06441357,,NCT06441357,Clinical trial participants (n=2000),Per trial protocol,As reported in trial monitoring,Under clinical investigation,Clinical Trial,Tang-Du Hospital,RECRUITING,Clinical trial evidence: Differentiating the Invasiveness of Lung Adenocarcinoma by Dual Energy CT Parameter,Clinical trial safety monitoring,2025-12-13,0,,,RECRUITING,GT-0052
,,"Non Small Cell Lung Cancer, Lung Cancer",Study protocol dosing,Updated protocol based on interim results,Standard study precautions,Enhanced safety monitoring based on trial data,Investigational use,"Clinical trial evidence for Non Small Cell Lung Cancer, Lung Cancer",,Medium,,2025-09-14,https://clinicaltrials.gov/study/NCT01837186,,NCT01837186,Clinical trial participants (n=600),Per trial protocol,As reported in trial monitoring,Under clinical investigation,Clinical Trial,"University Hospital, Gasthuisberg",COMPLETED,Clinical trial evidence: Empyema Following Pneumonectomy for Non Small Cell Lung Cancer (NSCLC),Clinical trial safety monitoring,2025-12-13,0,,,COMPLETED,GT-0053
"zongertinib, pembrolizumab, cisplatin",,"Lung Cancer, Non-squamous, Non-small Cell",Study protocol dosing,Updated protocol based on interim results,Standard study precautions,Enhanced safety monitoring based on trial data,Investigational use,"Clinical trial evidence for Lung Cancer, Non-squamous, Non-small Cell",,Medium,,2025-09-14,https://clinicaltrials.gov/study/NCT06151574,,NCT06151574,Clinical trial participants (n=416),Per trial protocol,As reported in trial monitoring,Under clinical investigation,Clinical Trial,Boehringer Ingelheim,RECRUITING,Clinical trial evidence: Beamion LUNG-2: A Study to Test Whether Zongertinib (BI 1810631) Helps People With Advanced Non-small Cell Lung Cancer With HER2 Mutations Compared With Standard Treatment,Clinical trial safety monitoring,2025-12-13,0,,PHASE3,RECRUITING,GT-0054
Prexasertib,,"Advanced Cancer, Squamous Cell Carcinoma, Carcinoma, Squamous Cell of Head and Neck, Lung Squamous C",Study protocol dosing,Updated protocol based on interim results,Standard study precautions,Enhanced safety monitoring based on trial data,Investigational use,"Clinical trial evidence for Advanced Cancer, Squamous Cell Carcinoma, Carcinoma, Squamous Cell of Head and Neck, Lung Squamous Cell Carcinoma Stage IV, Anal Squamous Cell Carcinoma, Carcinoma, Non-Small-Cell Lung",,Medium,,2025-09-14,https://clinicaltrials.gov/study/NCT01115790,,NCT01115790,Clinical trial participants (n=150),Per trial protocol,As reported in trial monitoring,Under clinical investigation,Clinical Trial,Eli Lilly and Company,COMPLETED,Clinical trial evidence: A Phase 1 Study in Participants With Advanced Cancer,Clinical trial safety monitoring,2025-12-13,0,,PHASE1,COMPLETED,GT-0055
"DPX-Survivac, Cyclophosphamide, Pembrolizumab",,"Ovarian Cancer, Hepatocellular Carcinoma, Non-small Cell Lung Cancer, Bladder Cancer, Microsatellite",Study protocol dosing,Updated protocol based on interim results,Standard study precautions,Enhanced safety monitoring based on trial data,Investigational use,"Clinical trial evidence for Ovarian Cancer, Hepatocellular Carcinoma, Non-small Cell Lung Cancer, Bladder Cancer, Microsatellite Instability-High",,Medium,,2025-09-14,https://clinicaltrials.gov/study/NCT03836352,,NCT03836352,Clinical trial participants (n=184),Per trial protocol,As reported in trial monitoring,Under clinical investigation,Clinical Trial,"ImmunoVaccine Technologies, Inc. (IMV Inc.)",ACTIVE_NOT_RECRUITING,"Clinical trial evidence: Study of an Immunotherapeutic, DPX-Survivac, in Combination With Low Dose Cyclophosphamide & Pembrolizumab, in Subjects With Selected Advanced & Recurrent Solid Tumors",Clinical trial safety monitoring,2025-12-13,0,,PHASE2,ACTIVE_NOT_RECRUITING,GT-0056
"Surgeon's 'standard of care' stapler, Ethicon Powered Vascular Stapler",,Non Small Cell Lung Cancer,Study protocol dosing,Updated protocol based on interim results,Standard study precautions,Enhanced safety monitoring based on trial data,Investigational use,Clinical trial evidence for Non Small Cell Lung Cancer,,Medium,,2025-09-14,https://clinicaltrials.gov/study/NCT02702921,,NCT02702921,Clinical trial participants (n=201),Per trial protocol,As reported in trial monitoring,Under clinical investigation,Clinical Trial,Ethicon Endo-Surgery,COMPLETED,Clinical trial evidence: Powered Vascular Stapler in Video-Assisted Thoracoscopic (VAT) Lobectomies,Clinical trial safety monitoring,2025-12-13,0,,,COMPLETED,GT-0057
"Light Dosimetry for Intranoperative Therapy, Photodynamic Therapy, Porfimer Sodium",,"Malignant Mesothelioma, Non-Small Cell Lung Carcinoma, Pleural Disorder",Study protocol dosing,Updated protocol based on interim results,Standard study precautions,Enhanced safety monitoring based on trial data,Investigational use,"Clinical trial evidence for Malignant Mesothelioma, Non-Small Cell Lung Carcinoma, Pleural Disorder",,Medium,,2025-09-14,https://clinicaltrials.gov/study/NCT03678350,,NCT03678350,Clinical trial participants (n=9),Per trial protocol,As reported in trial monitoring,Under clinical investigation,Clinical Trial,Roswell Park Cancer Institute,ACTIVE_NOT_RECRUITING,Clinical trial evidence: Light Dosimetry for Photodynamic Therapy With Porfimer Sodium in Treating Participants With Malignant Mesothelioma or Non-Small Cell Lung Cancer With Pleural Disease Undergoing Surgery,Clinical trial safety monitoring,2025-12-13,0,,PHASE1,ACTIVE_NOT_RECRUITING,GT-0058
"Prolonged Nightly Fasting, Exercise",,"Breast Cancer, Metastatic Breast Cancer",Study protocol dosing,Updated protocol based on interim results,Standard study precautions,Enhanced safety monitoring based on trial data,Investigational use,"Clinical trial evidence for Breast Cancer, Metastatic Breast Cancer",,Medium,,2025-09-14,https://clinicaltrials.gov/study/NCT04708860,,NCT04708860,Clinical trial participants (n=30),Per trial protocol,As reported in trial monitoring,Under clinical investigation,Clinical Trial,Dana-Farber Cancer Institute,COMPLETED,Clinical trial evidence: Feasibility of Fasting & Exercise in Pts With HR+ MBC,Clinical trial safety monitoring,2025-12-13,0,,,COMPLETED,GT-0059
"Liposomal Doxorubicin, Cyclophosphamide, Trastuzumab",,Breast Cancer,Study protocol dosing,Updated protocol based on interim results,Standard study precautions,Enhanced safety monitoring based on trial data,Investigational use,Clinical trial evidence for Breast Cancer,,Medium,,2025-09-14,https://clinicaltrials.gov/study/NCT00258960,,NCT00258960,Clinical trial participants (n=49),Per trial protocol,As reported in trial monitoring,Under clinical investigation,Clinical Trial,Spanish Breast Cancer Research Group,COMPLETED,"Clinical trial evidence: Caelyx, Cyclophosphamide and Herceptin in Patients With Metastatic Breast Cancer",Clinical trial safety monitoring,2025-12-13,0,,PHASE2,COMPLETED,GT-0060
"imiquimod, Abraxane, laboratory biomarker analysis",,"Male Breast Cancer, Recurrent Breast Cancer, Skin Metastases, Stage IV Breast Cancer",Study protocol dosing,Updated protocol based on interim results,Standard study precautions,Enhanced safety monitoring based on trial data,Investigational use,"Clinical trial evidence for Male Breast Cancer, Recurrent Breast Cancer, Skin Metastases, Stage IV Breast Cancer",,Medium,,2025-09-14,https://clinicaltrials.gov/study/NCT00821964,,NCT00821964,Clinical trial participants (n=15),Per trial protocol,As reported in trial monitoring,Under clinical investigation,Clinical Trial,University of Washington,COMPLETED,Clinical trial evidence: Topical Imiquimod and Abraxane in Treating Patients With Advanced Breast Cancer,Clinical trial safety monitoring,2025-12-13,0,,PHASE2,COMPLETED,GT-0061
"Self Affirmation (SA), Control",,Breast Cancer,Study protocol dosing,Updated protocol based on interim results,Standard study precautions,Enhanced safety monitoring based on trial data,Investigational use,Clinical trial evidence for Breast Cancer,,Medium,,2025-09-14,https://clinicaltrials.gov/study/NCT03225170,,NCT03225170,Clinical trial participants (n=64),Per trial protocol,As reported in trial monitoring,Under clinical investigation,Clinical Trial,National Human Genome Research Institute (NHGRI),COMPLETED,Clinical trial evidence: Is it Feasible?: Self-Affirmation for Hereditary Breast and Ovarian Cancer Genetic Counseling,Clinical trial safety monitoring,2025-12-13,0,,,COMPLETED,GT-0062
"AC regimen, cyclophosphamide, doxorubicin hydrochloride",,"Breast Cancer, Cognitive/Functional Effects, Depression, Malnutrition, Psychosocial Effects of Cance",Study protocol dosing,Updated protocol based on interim results,Standard study precautions,Enhanced safety monitoring based on trial data,Investigational use,"Clinical trial evidence for Breast Cancer, Cognitive/Functional Effects, Depression, Malnutrition, Psychosocial Effects of Cancer and Its Treatment",,Medium,,2025-09-14,https://clinicaltrials.gov/study/NCT00424203,,NCT00424203,Clinical trial participants (n=40),Per trial protocol,As reported in trial monitoring,Under clinical investigation,Clinical Trial,UNICANCER,COMPLETED,"Clinical trial evidence: Doxorubicin and Cyclophosphamide in Treating Older Women With Stage I, Stage II, or Stage III Breast Cancer That Has Been Removed By Surgery",Clinical trial safety monitoring,2025-12-13,0,,PHASE2,COMPLETED,GT-0063
"Durvalumab, Trastuzumab",,Metastatic Breast Cancer,Study protocol dosing,Updated protocol based on interim results,Standard study precautions,Enhanced safety monitoring based on trial data,Investigational use,Clinical trial evidence for Metastatic Breast Cancer,,Medium,,2025-09-14,https://clinicaltrials.gov/study/NCT02649686,,NCT02649686,Clinical trial participants (n=15),Per trial protocol,As reported in trial monitoring,Under clinical investigation,Clinical Trial,Canadian Cancer Trials Group,COMPLETED,Clinical trial evidence: Durvalumab in Patients With HER-2 Positive Metastatic Breast Cancer Receiving Trastuzumab,Clinical trial safety monitoring,2025-12-13,0,,PHASE1,COMPLETED,GT-0064
"Paced respiration, Sham comparator: fast shallow breathing",,Hot Flashes,Study protocol dosing,Updated protocol based on interim results,Standard study precautions,Enhanced safety monitoring based on trial data,Investigational use,Clinical trial evidence for Hot Flashes,,Medium,,2025-09-14,https://clinicaltrials.gov/study/NCT00819182,,NCT00819182,Clinical trial participants (n=218),Per trial protocol,As reported in trial monitoring,Under clinical investigation,Clinical Trial,Indiana University,COMPLETED,Clinical trial evidence: Breathe for Hot Flashes Randomized Controlled Trial,Clinical trial safety monitoring,2025-12-13,0,,,COMPLETED,GT-0065
,,Breast Cancer,Study protocol dosing,Updated protocol based on interim results,Standard study precautions,Enhanced safety monitoring based on trial data,Investigational use,Clinical trial evidence for Breast Cancer,,Medium,,2025-09-14,https://clinicaltrials.gov/study/NCT02900118,,NCT02900118,Clinical trial participants (n=28),Per trial protocol,As reported in trial monitoring,Under clinical investigation,Clinical Trial,Centre Oscar Lambret,COMPLETED,Clinical trial evidence: Imaging Evaluation of the Therapeutic Response of Breast Cancer Bone Metastasis (EMOS),Clinical trial safety monitoring,2025-12-13,0,,,COMPLETED,GT-0066
Nicotine cessation program,,Breast Cancer,Study protocol dosing,Updated protocol based on interim results,Standard study precautions,Enhanced safety monitoring based on trial data,Investigational use,Clinical trial evidence for Breast Cancer,,Medium,,2025-09-14,https://clinicaltrials.gov/study/NCT06461650,,NCT06461650,Clinical trial participants (n=20),Per trial protocol,As reported in trial monitoring,Under clinical investigation,Clinical Trial,University of Florida,RECRUITING,Clinical trial evidence: Preoperative Nicotine Cessation for Women With Breast Cancer Recommended for Reconstruction,Clinical trial safety monitoring,2025-12-13,0,,,RECRUITING,GT-0067
"paclitaxel, bavituximab, laboratory biomarker analysis",,"Human Epidermal Growth Factor 2 Negative Carcinoma of Breast, Male Breast Cancer, Recurrent Breast C",Study protocol dosing,Updated protocol based on interim results,Standard study precautions,Enhanced safety monitoring based on trial data,Investigational use,"Clinical trial evidence for Human Epidermal Growth Factor 2 Negative Carcinoma of Breast, Male Breast Cancer, Recurrent Breast Cancer, Stage IIIC Breast Cancer, Stage IV Breast Cancer",,Medium,,2025-09-14,https://clinicaltrials.gov/study/NCT01288261,,NCT01288261,Clinical trial participants (n=14),Per trial protocol,As reported in trial monitoring,Under clinical investigation,Clinical Trial,University of Arizona,COMPLETED,Clinical trial evidence: Paclitaxel and Bavituximab in Treating Patients With HER2-Negative Metastatic Breast Cancer,Clinical trial safety monitoring,2025-12-13,0,,PHASE1,COMPLETED,GT-0068
"breast tissue, lymph node tissue or blood",,"Breast Cancer, Breast Cancer Non-invasive Breast Cancer, Breast Cancer Early Stage Breast Cancer (St",Study protocol dosing,Updated protocol based on interim results,Standard study precautions,Enhanced safety monitoring based on trial data,Investigational use,"Clinical trial evidence for Breast Cancer, Breast Cancer Non-invasive Breast Cancer, Breast Cancer Early Stage Breast Cancer (Stage 1-3)",,Medium,,2025-09-14,https://clinicaltrials.gov/study/NCT00569049,,NCT00569049,Clinical trial participants (n=788),Per trial protocol,As reported in trial monitoring,Under clinical investigation,Clinical Trial,Stanford University,COMPLETED,Clinical trial evidence: Molecular Analysis of Breast Cancer,Clinical trial safety monitoring,2025-12-13,0,,,COMPLETED,GT-0069
"Fulvestrant, Tamoxifen",,"Breast Cancer, Metastasis",Study protocol dosing,Updated protocol based on interim results,Standard study precautions,Enhanced safety monitoring based on trial data,Investigational use,"Clinical trial evidence for Breast Cancer, Metastasis",,Medium,,2025-09-14,https://clinicaltrials.gov/study/NCT00241449,,NCT00241449,Clinical trial participants (n=51),Per trial protocol,As reported in trial monitoring,Under clinical investigation,Clinical Trial,AstraZeneca,COMPLETED,Clinical trial evidence: A Trial Comparing the Efficacy and Tolerability of Faslodex With Nolvadex in Postmenopausal Women With Advanced Breast Cancer,Clinical trial safety monitoring,2025-12-13,0,,PHASE3,COMPLETED,GT-0070
"Pep2dia, Placebo",,Prediabetic State,Study protocol dosing,Updated protocol based on interim results,Standard study precautions,Enhanced safety monitoring based on trial data,Investigational use,Clinical trial evidence for Prediabetic State,,Medium,,2025-09-14,https://clinicaltrials.gov/study/NCT05391854,,NCT05391854,Clinical trial participants (n=128),Per trial protocol,As reported in trial monitoring,Under clinical investigation,Clinical Trial,Ingredia S.A.,COMPLETED,Clinical trial evidence: Clinical Study to Assess the Long-term Effect of Pep2Dia® on Glucose Homeostasis in Prediabetic Subjects,Clinical trial safety monitoring,2025-12-13,0,,,COMPLETED,GT-0071
"CKD-501, Ketoconazole",,Type 2 Diabetes Mellitus,Study protocol dosing,Updated protocol based on interim results,Standard study precautions,Enhanced safety monitoring based on trial data,Investigational use,Clinical trial evidence for Type 2 Diabetes Mellitus,,Medium,,2025-09-14,https://clinicaltrials.gov/study/NCT01330563,,NCT01330563,Clinical trial participants (n=24),Per trial protocol,As reported in trial monitoring,Under clinical investigation,Clinical Trial,Chong Kun Dang Pharmaceutical,COMPLETED,"Clinical trial evidence: Drug-drug Interaction Study (CKD-501, Ketoconazole)",Clinical trial safety monitoring,2025-12-13,0,,PHASE1,COMPLETED,GT-0072
"Isoglycemic Clamp, Comparator: insulin glargine",,Diabetes,Study protocol dosing,Updated protocol based on interim results,Standard study precautions,Enhanced safety monitoring based on trial data,Investigational use,Clinical trial evidence for Diabetes,,Medium,,2025-09-14,https://clinicaltrials.gov/study/NCT01152242,,NCT01152242,Clinical trial participants (n=36),Per trial protocol,As reported in trial monitoring,Under clinical investigation,Clinical Trial,Merck Sharp & Dohme LLC,COMPLETED,Clinical trial evidence: Pharmacodynamic and Pharmacokinetic Variability of a Basal Insulin (0000-168),Clinical trial safety monitoring,2025-12-13,0,,PHASE1,COMPLETED,GT-0073
"Insulin Glargine, Insulin Glulisine, Metformin",,"Diabetes Mellitus, Type 2",Study protocol dosing,Updated protocol based on interim results,Standard study precautions,Enhanced safety monitoring based on trial data,Investigational use,"Clinical trial evidence for Diabetes Mellitus, Type 2",,Medium,,2025-09-14,https://clinicaltrials.gov/study/NCT00174642,,NCT00174642,Clinical trial participants (n=811),Per trial protocol,As reported in trial monitoring,Under clinical investigation,Clinical Trial,Sanofi,COMPLETED,Clinical trial evidence: Opposing Step-by-step Insulin Reinforcement to Intensified Strategy,Clinical trial safety monitoring,2025-12-13,0,,PHASE3,COMPLETED,GT-0074
Vitamin E,,"Macular Edema, Diabetes Mellitus",Study protocol dosing,Updated protocol based on interim results,Standard study precautions,Enhanced safety monitoring based on trial data,Investigational use,"Clinical trial evidence for Macular Edema, Diabetes Mellitus",,Medium,,2025-09-14,https://clinicaltrials.gov/study/NCT00055042,,NCT00055042,Clinical trial participants (n=40),Per trial protocol,As reported in trial monitoring,Under clinical investigation,Clinical Trial,National Eye Institute (NEI),COMPLETED,Clinical trial evidence: Laser and Antioxidant Treatment of Diabetic Macular Edema,Clinical trial safety monitoring,2025-12-13,0,,PHASE1,COMPLETED,GT-0075
"ISIS-GCGRRx - Dose Level 1, ISIS-GCGRRx - Dose Level 2, Placebo",,Type 2 Diabetes Mellitus,Study protocol dosing,Updated protocol based on interim results,Standard study precautions,Enhanced safety monitoring based on trial data,Investigational use,Clinical trial evidence for Type 2 Diabetes Mellitus,,Medium,,2025-09-14,https://clinicaltrials.gov/study/NCT01885260,,NCT01885260,Clinical trial participants (n=77),Per trial protocol,As reported in trial monitoring,Under clinical investigation,Clinical Trial,"Ionis Pharmaceuticals, Inc.",COMPLETED,"Clinical trial evidence: Safety, Tolerability and Efficacy of ISIS-GCGRRx in Type 2 Diabetes",Clinical trial safety monitoring,2025-12-13,0,,PHASE2,COMPLETED,GT-0076
"Insulin glargine/lixisenatide (HOE901/AVE0010), Insulin glargine (HOE901), Metformin (Background Drug)",,Type 2 Diabetes,Study protocol dosing,Updated protocol based on interim results,Standard study precautions,Enhanced safety monitoring based on trial data,Investigational use,Clinical trial evidence for Type 2 Diabetes,,Medium,,2025-09-14,https://clinicaltrials.gov/study/NCT02058160,,NCT02058160,Clinical trial participants (n=736),Per trial protocol,As reported in trial monitoring,Under clinical investigation,Clinical Trial,Sanofi,COMPLETED,Clinical trial evidence: Efficacy and Safety of the Insulin Glargine/Lixisenatide Fixed Ratio Combination Versus Insulin Glargine in Patients With Type 2 Diabetes,Clinical trial safety monitoring,2025-12-13,0,,PHASE3,COMPLETED,GT-0077
Nutritionnal intervention,,"Obesity, Abdominal, Diabete Type 2",Study protocol dosing,Updated protocol based on interim results,Standard study precautions,Enhanced safety monitoring based on trial data,Investigational use,"Clinical trial evidence for Obesity, Abdominal, Diabete Type 2",,Medium,,2025-09-14,https://clinicaltrials.gov/study/NCT05917132,,NCT05917132,Clinical trial participants (n=49),Per trial protocol,As reported in trial monitoring,Under clinical investigation,Clinical Trial,Laval University,COMPLETED,Clinical trial evidence: Production of Gut Microbiota-Derived Metabolites in Response to Different Fatty Acid Profiles,Clinical trial safety monitoring,2025-12-13,0,,,COMPLETED,GT-0078
"Afrezza Dose 1, Afrezza Dose 2",,"Diabetes Mellitus, Type 1, Diabetes Mellitus, Type 2",Study protocol dosing,Updated protocol based on interim results,Standard study precautions,Enhanced safety monitoring based on trial data,Investigational use,"Clinical trial evidence for Diabetes Mellitus, Type 1, Diabetes Mellitus, Type 2",,Medium,,2025-09-14,https://clinicaltrials.gov/study/NCT04849845,,NCT04849845,Clinical trial participants (n=20),Per trial protocol,As reported in trial monitoring,Under clinical investigation,Clinical Trial,Mannkind Corporation,COMPLETED,Clinical trial evidence: Afrezza® Dosing Optimization Study,Clinical trial safety monitoring,2025-12-13,0,,PHASE4,COMPLETED,GT-0079
spinal anesthesia,,Diabetes Mellitus,Study protocol dosing,Updated protocol based on interim results,Standard study precautions,Enhanced safety monitoring based on trial data,Investigational use,Clinical trial evidence for Diabetes Mellitus,,Medium,,2025-09-14,https://clinicaltrials.gov/study/NCT02294110,,NCT02294110,Clinical trial participants (n=1000),Per trial protocol,As reported in trial monitoring,Under clinical investigation,Clinical Trial,Diskapi Yildirim Beyazit Education and Research Hospital,COMPLETED,Clinical trial evidence: Effect of Diabetes Mellitus on Success of Spinal Anesthesia,Clinical trial safety monitoring,2025-12-13,0,,,COMPLETED,GT-0080
"Pancreaticoduodenectomy with pancreatic anastomosis, Total pancreatectomy with islet autotransplantation",,Postpancreatectomy Hyperglycemia,Study protocol dosing,Updated protocol based on interim results,Standard study precautions,Enhanced safety monitoring based on trial data,Investigational use,Clinical trial evidence for Postpancreatectomy Hyperglycemia,,Medium,,2025-09-14,https://clinicaltrials.gov/study/NCT01346098,,NCT01346098,Clinical trial participants (n=60),Per trial protocol,As reported in trial monitoring,Under clinical investigation,Clinical Trial,Ospedale San Raffaele,COMPLETED,Clinical trial evidence: Islet Autotransplantation in Patients at Very High-risk Pancreatic Anastomosis,Clinical trial safety monitoring,2025-12-13,0,,PHASE2,COMPLETED,GT-0081
"TZP-102, Placebo",,"Gastroparesis, Diabetes Mellitus",Study protocol dosing,Updated protocol based on interim results,Standard study precautions,Enhanced safety monitoring based on trial data,Investigational use,"Clinical trial evidence for Gastroparesis, Diabetes Mellitus",,Medium,,2025-09-14,https://clinicaltrials.gov/study/NCT00889486,,NCT00889486,Clinical trial participants (n=92),Per trial protocol,As reported in trial monitoring,Under clinical investigation,Clinical Trial,"Tranzyme, Inc.",COMPLETED,Clinical trial evidence: Safety and Efficacy of Once-daily Oral Administrations of TZP-102 for Gastroparesis in Patients With Diabetes Mellitus,Clinical trial safety monitoring,2025-12-13,0,,PHASE2,COMPLETED,GT-0082
,,"Stable Angina, Hypertension",Study protocol dosing,Updated protocol based on interim results,Standard study precautions,Enhanced safety monitoring based on trial data,Investigational use,"Clinical trial evidence for Stable Angina, Hypertension",,Medium,,2025-09-14,https://clinicaltrials.gov/study/NCT01321242,,NCT01321242,Clinical trial participants (n=400),Per trial protocol,As reported in trial monitoring,Under clinical investigation,Clinical Trial,AstraZeneca,COMPLETED,Clinical trial evidence: Achievement of Goal Resting Heart Rate on B-blockers in Patients With Stable Angina and Hypertension,Clinical trial safety monitoring,2025-12-13,0,,,COMPLETED,GT-0083
Refresh Tears Lubricant Eye Drops (Allergan),,"Glaucoma, Dry Eyes",Study protocol dosing,Updated protocol based on interim results,Standard study precautions,Enhanced safety monitoring based on trial data,Investigational use,"Clinical trial evidence for Glaucoma, Dry Eyes",,Medium,,2025-09-14,https://clinicaltrials.gov/study/NCT01682460,,NCT01682460,Clinical trial participants (n=15),Per trial protocol,As reported in trial monitoring,Under clinical investigation,Clinical Trial,University of Waterloo,COMPLETED,Clinical trial evidence: Pilot Study on the Use of Artificial Tears to Treat Dry Eye in Glaucoma Patients,Clinical trial safety monitoring,2025-12-13,0,,PHASE4,COMPLETED,GT-0084
